month,year,group_of_product,product,sub_product,line_of_business,branch,channel,agent,gross_written_premium,net_written_premium,earned_premium,claims_reported,claims_paid,outstanding_claims,commissions,brokerage_costs,direct_costs,indirect_costs,reinsurance_costs,receivables,budget,actual,forecast
9,2021,Motor Insurance,Motor Third Party Cover,Individual Vehicle,Motor Insurance,Nizwa,Broker,Agent-004,32520.0,29745.0,28981.0,12607.0,11869.0,738.0,4101.0,1348.0,1184.0,1090.0,3435.0,12294.0,33456.0,32520.0,34200.0
9,2021,Motor Insurance,Motor Third Party Cover,Fleet,Motor Insurance,Sohar,Broker,Agent-015,33493.0,30375.0,29097.0,21879.0,15842.0,6037.0,4926.0,1531.0,2308.0,865.0,4019.0,3789.0,31178.0,33493.0,34474.0
9,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Salalah,Digital,Agent-005,35235.0,28800.0,24405.0,14163.0,10856.0,3307.0,2561.0,1296.0,1827.0,1585.0,5463.0,6825.0,37576.0,35235.0,36953.0
9,2021,Motor Insurance,Motor Comprehensive Cover,Individual Vehicle,Motor Insurance,Nizwa,Direct,Agent-012,47683.0,35761.0,28675.0,31698.0,26395.0,5303.0,5747.0,1966.0,2525.0,1767.0,3384.0,6407.0,49289.0,47683.0,47463.0
9,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Nizwa,Bancassurance,Agent-012,52035.0,43699.0,38280.0,18854.0,14194.0,4660.0,3718.0,1371.0,3781.0,1406.0,3057.0,9596.0,49887.0,52035.0,53383.0
9,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Salalah,Broker,Agent-011,52507.0,42090.0,42237.0,21884.0,13305.0,8580.0,3098.0,2042.0,2788.0,1304.0,6572.0,7650.0,54569.0,52507.0,52055.0
9,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Muscat HQ,Broker,Agent-011,24752.0,17869.0,14822.0,18187.0,16695.0,1491.0,2970.0,511.0,1942.0,1073.0,3899.0,5812.0,23624.0,24752.0,23154.0
9,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Salalah,Direct,Agent-005,50213.0,42420.0,35811.0,34780.0,30101.0,4679.0,6123.0,1370.0,3081.0,1884.0,7405.0,6293.0,49368.0,50213.0,46530.0
9,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Muscat HQ,Broker,Agent-015,62560.0,52982.0,44646.0,45046.0,36189.0,8857.0,5298.0,2104.0,1948.0,3050.0,7654.0,20946.0,57339.0,62560.0,62426.0
9,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Salalah,Bancassurance,Agent-011,33126.0,27109.0,23497.0,15987.0,12506.0,3481.0,3110.0,360.0,2362.0,1553.0,2353.0,8818.0,30532.0,33126.0,34038.0
